Mês;Empresa;Linha;Estudante_Cartao;Estudante_BT;Vale_Transporte;Integracao_Plena;Integracao_Complementar;Gratuito_Cartao;Gratuito_BT;Inteira_Cartao;Inteira_Especie;Tarifa_Social;Qtd_Viagens
1;SANTA MARIA - URB;0054      ;17027;6555;34782;12565;0;9693;7875;7525;42762;3782;3520
1;SANTA MARIA - URB;0056      ;4528;1872;26356;11490;0;3166;2379;3935;21330;1329;2162
1;SANTA MARIA - URB;0066      ;5724;2530;14590;1770;0;3175;2058;2703;18407;2097;2171
1;SANTA MARIA - URB;0083      ;5516;2226;18283;1687;0;3999;1602;3435;19428;2425;1534
1;SANTA MARIA - URB;0331      ;7371;2011;15550;2991;31;4051;1918;4034;14243;0;1284
1;SANTA MARIA - URB;0332      ;1679;448;4087;869;0;854;439;1073;3023;190;554
1;SANTA MARIA - URB;0411      ;4264;1022;7361;2809;0;2926;1136;2042;7536;406;737
1;SANTA MARIA - URB;0561      ;92;73;2501;681;0;92;7;276;1068;55;342
1;VIA SUL - URB;0050      ;23542;7685;67487;18340;197;14589;8364;12868;56430;2876;4868
1;VIA SUL - URB;0051      ;14718;4651;23726;8241;0;9313;7109;6423;28337;596;3236
1;VIA SUL - URB;0052      ;11903;4254;21598;6546;0;10320;7811;5368;28633;664;3109
1;VIA SUL - URB;0065      ;6769;2331;13830;3490;0;4120;2392;3184;12411;0;1856
